slice_id,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,MeanAbsoluteDeviation,Mean,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,label
01E392EE-69F9-4E33-BFCE-E5C968654078.jpeg,0.411764706,0.701960784,182976.6695,-3.20E-16,0.184313725,2.275868793,0.921568627,0.095618266,0.572244191,0.588235294,0.223529412,0.698039216,0.07354241,0.583258146,-0.363176037,182976.6695,1,0.012726651,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,7660.75,1,0,1,27361.85331,27361.85331,27361.85331,1,4.061669725,1827.15041,0.241150318,0.01424286,22385.99604,0.495354663,0.495354663,0.495354663,2,1,0,1,73567520989,73567520989,73567520989,1,1,0.5,1.46E-11,1.46E-11,1.46E-11,1,3.72E-06,1242562500,2
03BF7561-A9BA-4C3C-B8A0-D3E585F73F3C.jpeg,0.356862745,0.549019608,127624.8536,-3.20E-16,0.098039216,3.126357201,0.725490196,0.059436029,0.446037647,0.439215686,0.254901961,0.470588235,0.041696318,0.452266918,0.571806457,127624.8536,1,0.005595783,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,8348.75,1,0,1,31170.36171,31170.36171,31170.36171,1,4.109483462,1941.013842,0.237056153,0.013380608,25392.92784,0.485548646,0.485548646,0.485548646,2,1,0,1,99239978833,99239978833,99239978833,1,1,0.5,1.09E-11,1.09E-11,1.09E-11,1,3.21E-06,1913450049,2
1-s2.0-S0140673620303706-fx1_lrg.jpg,0.247624314,0.478163529,157978.6294,-3.20E-16,0.124656863,2.972131869,0.81990549,0.071877116,0.356921783,0.349585098,0.08372902,0.736176471,0.051082241,0.367901024,0.437000196,157978.6294,1,0.007958005,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,10132.5,1,0,1,70328.24886,70328.24886,70328.24886,1,4.316477221,2265.870304,0.227866869,0.00868121,56592.76486,0.483307732,0.483307732,0.483307732,2,1,0,1,3.43444E+11,3.43444E+11,3.43444E+11,1,1,0.5,3.01E-12,3.01E-12,3.01E-12,1,1.71E-06,2869316356,2
1-s2.0-S1684118220300608-main.pdf-001.jpg,0.305882353,0.6,21349.79274,-3.20E-16,0.149019608,2.970362666,0.788235294,0.091417637,0.454338238,0.458823529,0.054901961,0.733333333,0.063752207,0.468690381,-0.121504813,21349.79274,1,0.013247439,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,2897.5,1,0,1,5586.771865,5586.771865,5586.771865,1,3.7398135,672.9589563,0.234636664,0.029812738,4448.902395,0.486100906,0.486100906,0.486100906,2,1,0,1,2418340706,2418340706,2418340706,1,1,0.5,4.55E-10,4.55E-10,4.55E-10,1,2.06E-05,56866681,2
1-s2.0-S1684118220300608-main.pdf-002.jpg,0.239215686,0.541176471,13591.198,-3.20E-16,0.145098039,2.655077939,0.701960784,0.088319721,0.386863595,0.384313725,0.074509804,0.62745098,0.062137178,0.402310735,0.152069179,13591.198,1,0.012190486,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,2689.75,1,0,1,4621.520415,4621.520415,4621.520415,1,3.766404287,634.121599,0.23628178,0.032031511,3643.875115,0.490353516,0.490353516,0.490353516,2,1,0,1,1819479925,1819479925,1819479925,1,1,0.5,6.25E-10,6.25E-10,6.25E-10,1,2.38E-05,56655729,2
1-s2.0-S1684118220300682-main.pdf-002-a1.png,0.235294118,0.564705882,4566.848412,-3.20E-16,0.188235294,2.446758766,0.764705882,0.105151635,0.377922164,0.349019608,0.145098039,0.619607843,0.080336454,0.398030275,0.607174331,4566.848412,1,0.015602938,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,432.5,1,0,1,6996.145349,6996.145349,6996.145349,1,6.349610203,8.034410092,0.017927456,0.015003816,1413.99096,0.027453121,0.027453121,0.027453121,2,1,0,1,210397993,210397993,210397993,1,1,0.5,5.00E-09,5.00E-09,5.00E-09,1,6.94E-05,2663424,2
1-s2.0-S1684118220300682-main.pdf-002-a2.png,0.243137255,0.603921569,8372.429712,-3.20E-16,0.215686275,2.038132663,0.725490196,0.114503636,0.419006074,0.411764706,0.109803922,0.615686275,0.088347984,0.440071346,0.024616551,8372.429712,1,0.018096699,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,599.5,1,0,1,9057.839743,9057.839743,9057.839743,1,6.601280532,8.637462833,0.014008587,0.013867043,2711.065045,0.045165988,0.045165988,0.045165988,2,1,0,1,471065665,471065665,471065665,1,1,0.5,2.19E-09,2.19E-09,2.19E-09,1,4.63E-05,3814209,2
1-s2.0-S1684118220300682-main.pdf-003-b1.png,0.258823529,0.662745098,9082.019208,-3.20E-16,0.22745098,2.465695053,0.909803922,0.126333649,0.440266428,0.415686275,0.145098039,0.764705882,0.093982637,0.465769287,0.520163844,9082.019208,1,0.023106501,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,576.25,1,0,1,9403.706438,9403.706438,9403.706438,1,6.673165757,7.946217916,0.013310292,0.01376481,2358.462652,0.028027899,0.028027899,0.028027899,2,1,0,1,439678793,439678793,439678793,1,1,0.5,2.31E-09,2.31E-09,2.31E-09,1,4.78E-05,1530169,2
1-s2.0-S1684118220300682-main.pdf-003-b2.png,0.254901961,0.682352941,7988.96875,-3.20E-16,0.243137255,2.294787329,0.894117647,0.133857811,0.463764282,0.458823529,0.098039216,0.796078431,0.099303664,0.491037863,0.157649079,7988.96875,1,0.026040873,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,499.75,1,0,1,7341.515918,7341.515918,7341.515918,1,6.417972879,7.966160463,0.016264744,0.01508315,1994.26865,0.045485474,0.045485474,0.045485474,2,1,0,1,275662224.5,275662224.5,275662224.5,1,1,0.5,3.69E-09,3.69E-09,3.69E-09,1,6.04E-05,1213302.25,2
1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-000-fig1a.png,0.11205098,0.59832549,20661.80517,-3.20E-16,0.282352941,2.31347116,1,0.151729553,0.366635922,0.378717647,0,1,0.114332875,0.409261104,-0.07702258,20661.80517,1,0.033072752,1,0,0,0,0,1,0,-3.20E-16,0,1,1,1,1,0,0,0,1,1,-3.20E-16,1,1,2,-3.20E-16,0,932.5,1,0,1,34124.93967,34124.93967,34124.93967,1,7.0422804,11.32125245,0.011457322,0.007559299,6358.880579,0.019752876,0.019752876,0.019752876,2,1,0,1,3829922885,3829922885,3829922885,1,1,0.5,2.68E-10,2.68E-10,2.68E-10,1,1.62E-05,25623844,2
